Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist,$111K-$181K (Glassdoor est.),3.5,"Hopper
3.5","New York, NY",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
"Data Scientist, Product Analytics",$111K-$181K (Glassdoor est.),4.5,"Noom US
4.5","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
Data Science Manager,$111K-$181K (Glassdoor est.),-1,Decode_M,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst,$111K-$181K (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Director, Data Science",$111K-$181K (Glassdoor est.),3.4,"United Entertainment Group
3.4","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,$111K-$181K (Glassdoor est.),2.9,"IFG Companies
2.9","New York, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Quantitative Researcher,$111K-$181K (Glassdoor est.),4.4,"PDT Partners
4.4","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Quantitative Research Associate,$111K-$181K (Glassdoor est.),-1,Enlightenment Research,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
AI Scientist,$111K-$181K (Glassdoor est.),5,"Paige
5.0","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Quantitative Researcher,$111K-$181K (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Quartet Health
3.9","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist/Machine Learning,$111K-$181K (Glassdoor est.),4.4,"PulsePoint
4.4","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
"Data Scientist, Acorn AI Labs",$111K-$181K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Scientist - Alpha Insights,$111K-$181K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Scientist,$111K-$181K (Glassdoor est.),3,"Affinity Solutions
3.0","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
"Data Scientist, Analytics",$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
Data Scientist/ML Engineer,$111K-$181K (Glassdoor est.),3.3,"PA Consulting
3.3","New York, NY",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","New York, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
"VP, Data Science",$111K-$181K (Glassdoor est.),3.9,"7Park Data
3.9","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
"Data Scientist, Disney+ Personalization",$111K-$181K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
"Senior Data Scientist, Data Science Operations",$111K-$181K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Quantitative Researcher – Intern (US),$111K-$181K (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
Senior Data Engineer (Healthcare Domain experience required),$111K-$181K (Glassdoor est.),3.4,"Enterprise Integration
3.4","New York, NY",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Scientist,$111K-$181K (Glassdoor est.),4.4,"WITHIN
4.4","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
"Data Scientist, Marketplace Economics",$111K-$181K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$111K-$181K (Glassdoor est.),4.1,"Datadog
4.1","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Lead Data Scientist,$111K-$181K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Personalization",$111K-$181K (Glassdoor est.),5,"Hungryroot
5.0","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
Principal Data Scientist,$111K-$181K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$120K-$140K (Glassdoor est.),4.3,"Caserta
4.3","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Data Scientist, Decisions",$120K-$140K (Glassdoor est.),3.7,"Lyft
3.7","New York, NY",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$120K-$140K (Glassdoor est.),4.3,"IBG LLC
4.3","New York, NY",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD)
Data Scientist,$120K-$140K (Glassdoor est.),3,"CLEAR
3.0","New York, NY",1001 to 5000 employees,2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
Data Science Analyst,$120K-$140K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$120K-$140K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$120K-$140K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
Data Scientist,$120K-$140K (Glassdoor est.),4.2,"infarm
4.2","New York, NY",501 to 1000 employees,2013,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable
Data Scientist for Alpha Insights,$120K-$140K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
"Data Scientist, Analytics",$120K-$140K (Glassdoor est.),4.6,"Bowery Farming
4.6","New York, NY",51 to 200 employees,2015,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable
Data Scientist,$120K-$140K (Glassdoor est.),4.3,"NorthOne
4.3","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Quantitative Researcher / Quantitative Research Analyst,$120K-$140K (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
Technical Data Consultant,$120K-$140K (Glassdoor est.),4.3,"Braze
4.3","New York, NY",501 to 1000 employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
"Data Scientist, Instagram - Well-being, Trust",$120K-$140K (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Data Science Analyst,$120K-$140K (Glassdoor est.),-1,MUSIC & Entertainment,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
"Data Scientist, Decisions",$120K-$140K (Glassdoor est.),3.9,"Crisis Text Line
3.9","New York, NY",51 to 200 employees,2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable
Data Scientist,$120K-$140K (Glassdoor est.),3.4,"Casper
3.4","New York, NY",501 to 1000 employees,2014,Company - Public,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable
Data Scientist/Lead Data Scientist,$120K-$140K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Quantitative Research Analyst,$120K-$140K (Glassdoor est.),3.6,"Tower Research Capital
3.6","New York, NY",501 to 1000 employees,1998,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
"Data Scientist, Analytics & Inference",$120K-$140K (Glassdoor est.),3.5,"Codecademy
3.5","New York, NY",51 to 200 employees,2011,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Data Analyst,$120K-$140K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
CIB - Data Scientist,$120K-$140K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist,$120K-$140K (Glassdoor est.),3.2,"viagogo
3.2","New York, NY",501 to 1000 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$120K-$140K (Glassdoor est.),-1,CompIQ,"New York, NY",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Lead Data Scientist - 66201BR,$120K-$140K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Analytics & Inference",$120K-$140K (Glassdoor est.),-1,Codeacademy,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$120K-$140K (Glassdoor est.),4.2,"Gallup
4.2","New York, NY",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
"Data Scientist, Buyer Experience",$120K-$140K (Glassdoor est.),3.6,"eBay
3.6","New York, NY",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,$120K-$140K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist - Forecasting,$120K-$140K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist - Machine Learning Platform,$119K-$147K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist - People Analytics,$119K-$147K (Glassdoor est.),-1,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist / Engineer,$119K-$147K (Glassdoor est.),5,"Snappy
5.0","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$119K-$147K (Glassdoor est.),-1,Pierce Technology Corp,"New York, NY",-1,-1,-1,-1,-1,-1
Applied Data Scientist,$119K-$147K (Glassdoor est.),3.4,"Aptus Health
3.4","New York, NY",201 to 500 employees,2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist - Analytics Engineer,$119K-$147K (Glassdoor est.),3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
People Analytics Data Scientist,$119K-$147K (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Scientist,$119K-$147K (Glassdoor est.),3,"Known
3.0","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Credit Analytics Manager,$119K-$147K (Glassdoor est.),4,"Liberty Lending
4.0","New York, NY",51 to 200 employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist - Nationwide Opportunities,$119K-$147K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,$119K-$147K (Glassdoor est.),3.6,"DoSomething.org
3.6","New York, NY",51 to 200 employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD)
Data Scientist,$119K-$147K (Glassdoor est.),3.9,"ApTask
3.9","New York, NY",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$119K-$147K (Glassdoor est.),2.8,"Match Group
2.8","New York, NY",1001 to 5000 employees,1998,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
